jan,title,avg_sold_price,avg_shipping,total_sold,total_sales,date_last_sold,brand,mpn,epid,category,seller,item_id,url
4550510072302,The Super Mario Bros. Movie 4K Ultra HD + Blu-ray GNXF-2853 4550510072302,52.42,0,1,52.42,"Aug 17, 2026",,,,Movies & TV|DVDs & Blu-ray Discs,sdyk0022,116045485696,https://www.ebay.com/itm/116045485696
4524135180452,Sound Euphonium 3 Blu-ray Vol.2 Anime Hibike Euphonium Season 3 Region free,101.56,0,1,101.56,"Aug 17, 2026",,,,Movies & TV|DVDs & Blu-ray Discs,sdyk0022,116256345775,https://www.ebay.com/itm/116256345775
4934569364760,MOBILE SUIT GUNDAM The 08th MS Team Blu-ray U.C. Libraries English Subtitles,166.78,0,1,166.78,"Aug 16, 2026",,,,Movies & TV|DVDs & Blu-ray Discs,sdyk0022,116268736666,https://www.ebay.com/itm/116268736666
4524135180476,Sound Euphonium 3 Blu-ray Vol.3 Anime Hibike Euphonium Season 3 Region free,93.41,0,1,93.41,"Aug 17, 2026",,,,Movies & TV|DVDs & Blu-ray Discs,sdyk0022,116271379138,https://www.ebay.com/itm/116271379138
4560349038271,Tenchi Muyo! Ryo-Ohki Season 4 Blu-ray Set Region free LXAICT-827 4560349038271,74.55,0,1,74.55,"Aug 16, 2026",,,,Movies & TV|DVDs & Blu-ray Discs,sdyk0022,116297040757,https://www.ebay.com/itm/116297040757
4520424932665,Tenchi Muyo! Ryo-Ohki Season 5 Blu-ray Set Region free HBTM-521 4520424932665,100.18,0,1,100.18,"Aug 16, 2026",,,,Movies & TV|DVDs & Blu-ray Discs,sdyk0022,116297041716,https://www.ebay.com/itm/116297041716
4934569364708,Mobile Suit Gundam The 08th MS Team Miller's Report Blu-ray Region free Eng Sub,56.37,0,1,56.37,"Aug 16, 2026",,,,Movies & TV|DVDs & Blu-ray Discs,sdyk0022,116502556230,https://www.ebay.com/itm/116502556230
4988111668608,Panty & Stocking with Garterbelt Blu-ray BOX All-Time Bitch Edition Eng Sub,127.96,0,1,127.96,"Aug 17, 2026",,,,Movies & TV|DVDs & Blu-ray Discs,sdyk0022,116647635396,https://www.ebay.com/itm/116647635396
4988104154842,Jujutsu Kaisen Hidden Inventory Premature Death Movie Blu-ray English Sub,98.88,0,1,98.88,"Aug 18, 2026",,,,Movies & TV|DVDs & Blu-ray Discs,sdyk0022,116872668601,https://www.ebay.com/itm/116872668601
4934569800220,Patlabor: The Movie 4K Ultra HD+Blu-ray+Booklet Limited ED English Sub BCQA-22,147.06,0,1,147.06,"Aug 16, 2026",,,,Movies & TV|DVDs & Blu-ray Discs,sdyk0022,116924258075,https://www.ebay.com/itm/116924258075
4560309726507,Yuzuru Hanyu ICE STORY 2nd RE_PRAY DVD Booklet Japan Region 2 YHBA-10005,73.33,0,1,73.33,"Aug 16, 2026",,,,Movies & TV|DVDs & Blu-ray Discs,sdyk0022,116927422104,https://www.ebay.com/itm/116927422104
4957812589062,YAMAHA SLG200N TBL Silent Acoustic Guitar Nylon Strings Translucent,586.65,75,1,586.65,"Aug 16, 2026",Yamaha,SLG200NTBL,2255559971,Musical Instruments & Gear|Guitars & Basses|Acoustic Electric Guitars,solamu_inc,116985078075,https://www.ebay.com/itm/116985078075
4549526207907,Casio Lineage LCW-M100TSE-7AJF Titanium Radio Solar 40mm Watch,160.34,36,1,160.34,"Aug 17, 2026",Casio,,16024993185,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",indigo_tokyo,117097543337,https://www.ebay.com/itm/117097543337
4906006281978,ORIENT Sports RN-AC0H03B Mechanical Automatic Black Leather Band 42.4mm watch,191.1,36,1,191.1,"Aug 16, 2026",Orient,,,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",indigo_tokyo,117097555020,https://www.ebay.com/itm/117097555020
4524135284273,Chained Soldier Mato Seihei no Slave 2 Vol.2 Blu-ray Booklet Japan,115.14,0,1,115.14,"Aug 16, 2026",,,,Movies & TV|DVDs & Blu-ray Discs,sdyk0022,117116086681,https://www.ebay.com/itm/117116086681
