jan,title,avg_sold_price,avg_shipping,total_sold,total_sales,date_last_sold,brand,mpn,epid,category,seller,item_id,url
4948872413688,Sony PlayStation Vita Wi-Fi Light blue / White PCH-2000 ZA14 Console Japan NEW,304.99,17,1,304.99,"Aug 21, 2026",Sony,PCH-2000 ZA14,,Video Games & Consoles|Video Game Consoles,samuraisellercooljapanc.t,123279975918,https://www.ebay.com/itm/123279975918
4582387101311,Oyaide TUNAMI TERZO XX V2 0.7m Long XLR Interconnect Cable Japan NEW,264.95,0,1,264.95,"Aug 20, 2026",OYAIDE,TUNAMI TERZO XX V2,,"Consumer Electronics|TV, Video & Home Audio|TV, Video & Audio Accessories|Home Audio Accessories|Audio Cables & Interconnects",samuraisellercooljapanc.t,123437830647,https://www.ebay.com/itm/123437830647
4573102554826,Robot Spirits RX-78NT-1FA Gundam NT-1 ALEX -Full Armor Equipment Figure BANDAI,177.42,26.67,1,177.42,"Aug 20, 2026",Bandai,,,Toys & Hobbies|Action Figures & Accessories|Action Figures,samuraisellercooljapanc.t,123821705021,https://www.ebay.com/itm/123821705021
4543112227218,1/850 U.S.S. ENTERPRISE NX-01 Star Trek Plastic Model Kit BANDAI Japan NEW,129.99,21.12,1,129.99,"Aug 20, 2026",Bandai,NX-01,,Toys & Hobbies|Models & Kits|Figures,samuraisellercooljapanc.t,123973692391,https://www.ebay.com/itm/123973692391
4946368583327,Mitutoyo 192-613-10 LCD Digimatic Height Gauge 0-300mm Range 0.01mm-0.005mm NEW,874.96,0,1,874.96,"Aug 21, 2026",Mitutoyo,HD30AX,1523840944,"Business & Industrial|CNC, Metalworking & Manufacturing|Metalworking Inspection & Measurement|Inspection Gages",samuraisellercooljapanc.t,124007465391,https://www.ebay.com/itm/124007465391
4543112649904,New Pirate squadron Gokaiger mobile phone BANDAI makeover mobile Mobairetsu F/S,155,0,1,155,"Aug 21, 2026",Bandai,,,Toys & Hobbies|Action Figures & Accessories|Action Figures,jatoyo*,124244150531,https://www.ebay.com/itm/124244150531
4549526269363,CASIO G-SHOCK G-LIDE GBX-100-1JF Men's Watch New in Box,148.6,0,1,148.6,"Aug 20, 2026",Casio,,,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",nyankichi2009,124417949933,https://www.ebay.com/itm/124417949933
4958136035655,LUXMAN speaker selector (3 line switch) AS-55 from Japan NEW,526.8,65.56,1,526.8,"Aug 22, 2026",LUXMAN,,,"Consumer Electronics|TV, Video & Home Audio|Home Audio|Receivers & Amplifiers|Amplifiers & Preamps",samuraisellercooljapanc.t,124487667234,https://www.ebay.com/itm/124487667234
4960759207715,Nikon Binoculars Mikron 7x15 Porro Prism M7X15 Made in Japan New,313.68,39.57,1,313.68,"Aug 22, 2026",Nikon,M7X15CF,,Cameras & Photo|Binoculars & Telescopes|Binoculars & Monoculars,nyankichi2009,124629629657,https://www.ebay.com/itm/124629629657
4960759207180,Nikon Binoculars Mikron 6x15 Porro Prism M6X15 Made in Japan New,281.07,35.43,1,281.07,"Aug 22, 2026",Nikon,M6X15 CF,,Cameras & Photo|Binoculars & Telescopes|Binoculars & Monoculars,nyankichi2009,124629632394,https://www.ebay.com/itm/124629632394
4562112765643,C-046 Office Oyaide IEC Connector / 4562112765643 / From Japan ◇,62.96,12.6,1,62.96,"Aug 20, 2026",Oyaide,,,"Consumer Electronics|TV, Video & Home Audio|TV, Video & Audio Accessories|Other TV, Video & Audio Accs",iruzamako,124684981966,https://www.ebay.com/itm/124684981966
4549660195641,Premium BANDAI HGUC 1/144 GUNDAM MS-08TX EXAM EFREET CUSTOM Kit w/ Tracking NEW,54.62,55.29,1,54.62,"Aug 22, 2026",Premium BANDAI,,,Toys & Hobbies|Models & Kits|Figures,lush_nine*japan,124882218746,https://www.ebay.com/itm/124882218746
4902370522181,New Nintendo 3DS LL (XL) metalic black console handheld System Japan Import New,419.99,0,1,419.99,"Aug 21, 2026",Nintendo,Dose not apply,,Video Games & Consoles|Video Game Consoles,samuraisellercooljapanc.t,125217730655,https://www.ebay.com/itm/125217730655
4580416901116,Red Bull Air Race transforming plane non-scale ABS & METAL-made finished go NEW,64.94,0,1,64.94,"Aug 22, 2026",good smile Company,NA,,Toys & Hobbies|Action Figures & Accessories|Action Figures,samuraisellercooljapanc.t,125301737282,https://www.ebay.com/itm/125301737282
4562459901773,Effects Bakery Maritozzo Bass Preamp Japan Brand Mini Pedal Professional Tone,59.99,13,1,59.99,"Aug 20, 2026",Effects Bakery,Maritozzo Bass EQ,,Musical Instruments & Gear|Guitars & Basses|Parts & Accessories|Effects Pedals|Other Guitar Effects Pedals,retro.music-japanshop,125388902317,https://www.ebay.com/itm/125388902317
4580198723128,RAI'S 1/18 LEXUS LC500 (URZ100) 2020 Japan Traffic Police Force Vehicle H7182002,151.76,45.5,1,151.76,"Aug 23, 2026",RAI'S,H7182002,,"Toys & Hobbies|Diecast & Toy Vehicles|Cars, Trucks & Vans|Contemporary Manufacture",lush_nine*japan,125911818987,https://www.ebay.com/itm/125911818987
4523231446639,Hi Story 1/43 MITSUBISHI MIRAGE CYBORG-R (1992) Corse Gray HS429GY,75.62,15.1,1,75.62,"Aug 21, 2026",Hi-Story,HS429GY,,"Toys & Hobbies|Diecast & Toy Vehicles|Cars, Trucks & Vans|Contemporary Manufacture",lush_nine*japan,126123264025,https://www.ebay.com/itm/126123264025
4902370517170,Nintendo DSi Console System Japan Ver. White Japan NEW,154.99,23.89,1,154.99,"Aug 23, 2026",Nintendo,,,Video Games & Consoles|Video Game Consoles,samuraisellercooljapanc.t,126199546503,https://www.ebay.com/itm/126199546503
4957054008772,BOSS FV-50H Volume Pedal,69.64,13,1,69.64,"Aug 22, 2026",Roland,FV-50H,,Musical Instruments & Gear|Guitars & Basses|Parts & Accessories|Effects Pedals|Wah & Volume,retro.music-japanshop,126234164740,https://www.ebay.com/itm/126234164740
4548736016989,New SONY Vertical Soft Carrying Case LCS-RXG for RX100 Series Cameras -BLACK,74.98,41,1,74.98,"Aug 22, 2026",Sony,LCS-RXG,,"Cameras & Photo|Camera, Drone & Photo Accessories|Cases, Bags & Covers",nyjbloom,126268391152,https://www.ebay.com/itm/126268391152
4517228010156,Ultraman Talking Alarm Clock Silver JF336A W/ Box SEIKO Character Goods  JPN New,68.18,19.99,1,68.18,"Aug 22, 2026",Seiko,JF336A,,Home & Garden|Home Décor|Clocks|Alarm Clocks & Clock Radios,hiskod_46,126338104325,https://www.ebay.com/itm/126338104325
4582234672483,AKG K371-BT Bluetooth Input Corresponding Closed Type Monitor Headphones NEW,190.34,0,1,190.34,"Aug 22, 2026",AKG,K371-BT,,Consumer Electronics|Portable Audio & Headphones|Headphones,samuraisellercooljapanc.t,126448205587,https://www.ebay.com/itm/126448205587
4954628587077,SEIKO DOLCE SACM152 Men's Watch Made in Japan New in Box,354.67,70,1,354.67,"Aug 20, 2026",SEIKO,,,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",nyankichi2009,126625568654,https://www.ebay.com/itm/126625568654
4954628466396,Seiko Seiko 5 Sports SBSA255 Mechanical Automatic Men Watch New in Box,303.78,10,1,303.78,"Aug 22, 2026",Seiko,,,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",nyankichi2009,126640123077,https://www.ebay.com/itm/126640123077
4987646102243,Kowa TSN-501 Spotting Scope 50mm Diameter Inclined Scope Integrated Eyepiece Set,268.76,37.78,1,268.76,"Aug 21, 2026",Kowa,TSN-501,,Cameras & Photo|Binoculars & Telescopes|Binoculars & Monoculars,samuraisellercooljapanc.t,126726530099,https://www.ebay.com/itm/126726530099
4550457813037,ASICS Working Safety Shoes WIN JOB CP309 BOA WIDE Black 1273A095 US7(25cm),114.34,29.5,1,114.34,"Aug 22, 2026",ASICS,1273A095,,"Clothing, Shoes & Accessories|Men|Men's Shoes|Boots",lush_nine*japan,126784180671,https://www.ebay.com/itm/126784180671
4950344120079,Tamiya 1/12 Ferrari 312B Big Scale Series F1 Vintage Plastic model Kit NEW,182.96,5,1,182.96,"Aug 20, 2026",Tamiya (TAMIYA),12007,,Toys & Hobbies|Models & Kits|Automotive,samuraisellercooljapanc.t,126785237984,https://www.ebay.com/itm/126785237984
4549526363085,CASIO G-SHOCK Tough Watch Domestic Version DW-6900NNJ-1JR Black (Ninja design),207,0,1,207,"Aug 22, 2026",Casio,,,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",sakura-japan-net,127011633014,https://www.ebay.com/itm/127011633014
4988601327367,Dissidia Final Fantasy Play Arts Kai Squall Leonhart Figure SQUARE ENIX New,290.14,37.78,1,290.14,"Aug 22, 2026",Square Enix,XDIFFZZZ26,,Toys & Hobbies|Action Figures & Accessories|Action Figures,samuraisellercooljapanc.t,127038594656,https://www.ebay.com/itm/127038594656
4950344120284,Tamiya 1/12 McLaren Honda MP4/6 Big Scale Series Model Kit Ayrton Senna 12028,254.99,0,1,254.99,"Aug 21, 2026",Tamiya (TAMIYA),12028,,Toys & Hobbies|Models & Kits|Automotive,samuraisellercooljapanc.t,127140378690,https://www.ebay.com/itm/127140378690
4549660177463,Figuarts ZERO NAMI ONE PIECE 20TH ANNIVERSARY VER. Figure Straw Hat Pirates New,102.6,0,1,102.6,"Aug 21, 2026",Bandai,2391110,,Collectibles|Animation Art & Merchandise|Animation Merchandise|Figures & Statues,tmsfc.jpn,127160667271,https://www.ebay.com/itm/127160667271
4902704781680,Panasonic LUMIX G 20mm F1.7 II ASPH. For Micro Four Thirds H-H020A-S Silver,375,43.69,1,375,"Aug 20, 2026",Panasonic,H-H020AK,,Cameras & Photo|Lenses & Filters|Lenses,naospecial_tokyojapan,127211414442,https://www.ebay.com/itm/127211414442
4549660151685,S.H. MonsterArts MFS-3 Godzilla Type-3 Kiryu Figure Shinagawa Final Battle ver.,364.99,48.89,1,364.99,"Aug 20, 2026",Bandai,BAN15168,,"Toys & Hobbies|Robots, Monsters & Space Toys|Monsters|Godzilla",samuraisellercooljapanc.t,127336619141,https://www.ebay.com/itm/127336619141
4974365102104,Sega Dreamcast HKT-3000 Game Console from Japan NEW,329.96,51,1,329.96,"Aug 21, 2026",SEGA,HKT-3000,,Video Games & Consoles|Video Game Consoles,samuraisellercooljapanc.t,127394052695,https://www.ebay.com/itm/127394052695
4988031614723,Taylor Swift Midnights The Late Night Edition Japan Limited CD,69.88,0,1,69.88,"Aug 23, 2026",,,,Music|CDs,greatvalue-japanstore,127435340109,https://www.ebay.com/itm/127435340109
4549526401565,CASIO G-SHOCK GM-B2100SD-1CJF Full Metal Bluetooth Solar Men Watch New in Box,458.63,0,1,458.63,"Aug 22, 2026",Casio,,,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",nyankichi2009,127607517352,https://www.ebay.com/itm/127607517352
4582766405115,Mizuno GX-Sonic Eye J Racing Swim Goggles Light Pink Ruby Mirror Unisex New,74.95,5,1,74.95,"Aug 22, 2026",Mizuno,,,Sporting Goods|Water Sports|Swimming|Goggles,good_market39,127630966740,https://www.ebay.com/itm/127630966740
4589986380048,Sangenshi Kikuoka Shamisen Kojami Sansen Japanese Samisen Sakura Flower NEW,172.98,23.89,1,172.98,"Aug 21, 2026",Sangenshi Kikuoka,,,Musical Instruments & Gear|String|Other String Instruments,samuraisellercooljapanc.t,127636455082,https://www.ebay.com/itm/127636455082
4950344232017,Tamiya 1/12 Collector's Club Honda F-1 RA272 1965 Mexico GP Winner Japan NEW,204.99,32.23,1,204.99,"Aug 22, 2026",Tamiya,23201,,"Toys & Hobbies|Diecast & Toy Vehicles|Cars, Trucks & Vans|Contemporary Manufacture",samuraisellercooljapanc.t,127787010367,https://www.ebay.com/itm/127787010367
4948872412575,SONY PS3 DUAL SHOCK DUALSHOCK 3 Wireless Controller Classic White Japan New,144.99,17,1,144.99,"Aug 21, 2026",Sony,CECHZC2J,,Video Games & Consoles|Video Game Accessories|Controllers & Attachments,samuraisellercooljapanc.t,127809337369,https://www.ebay.com/itm/127809337369
4570118084804,"One Piece Card Game Premium Card Collection Uta, 6 Parallel Card JP",77.98,0,1,77.98,"Aug 22, 2026",,,,Toys & Hobbies|Collectible Card Games|CCG Mixed Card Lots,nipponexcellentgoods,127827584291,https://www.ebay.com/itm/127827584291
4951586271154,JICO 192 VN45HE SAS/B Boron Replacement Stylus for Shure V15 Type IV MM New,224.63,0,1,224.63,"Aug 20, 2026",Jico,192-VN45HE,,"Consumer Electronics|TV, Video & Home Audio|TV, Video & Audio Parts|Record Player, Turntable Parts",naospecial_tokyojapan,127867119514,https://www.ebay.com/itm/127867119514
4580828665163,GSC Nendoroid KAIJU No.8 EIGHT Gen Narumi w/ Tracking NEW,54.94,50.92,1,54.94,"Aug 22, 2026",Good Smile Company,,,Toys & Hobbies|Action Figures & Accessories|Action Figures,lush_nine*japan,127875699441,https://www.ebay.com/itm/127875699441
4906006297085,Orient Men's Watch RN-AC0028S Classic Bambino,274.95,0,1,274.95,"Aug 21, 2026",Orient,RN-AC0028S,,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",sakura-japan-net,127893686921,https://www.ebay.com/itm/127893686921
4570012880250,GOLFZON CaddyTalk CUBE Laser Rangefinder Golf Distance Meter Silver Japan NEW,184.47,26.67,1,184.47,"Aug 21, 2026",Caddy Talk,,,Sporting Goods|Golf|Golf Tech|Rangefinders & Scopes,samuraisellercooljapanc.t,127905014463,https://www.ebay.com/itm/127905014463
4951586851349,JICO SHURE 192-VN35E SAS/B Boron Cantilever Record Replacement Stylus Needle New,229.96,26.39,1,229.96,"Aug 20, 2026",Jico,192-VN35E,,"Consumer Electronics|TV, Video & Home Audio|TV, Video & Audio Parts|Record Player, Turntable Parts",naospecial_tokyojapan,127917863802,https://www.ebay.com/itm/127917863802
4570104431919,EIDOLON 1/43 Porsche 911 (992) GT3 2021 GT Silver Metallic EM758B,279.05,95.3,1,279.05,"Aug 20, 2026",Make up,EM758B,,"Toys & Hobbies|Diecast & Toy Vehicles|Cars, Trucks & Vans|Contemporary Manufacture",lush_nine*japan,127925999056,https://www.ebay.com/itm/127925999056
4545784066027,figma 439 Tanya Degurechaff Saga of Tanya the Evil Max Factory Figure JP,237.42,0,1,237.42,"Aug 21, 2026",Max Factory,M06602,,Collectibles|Animation Art & Merchandise|Animation Merchandise|Other Animation Merchandise,kobe-vibes-japan,127975206540,https://www.ebay.com/itm/127975206540
4981932077857,HJ43 1/43 HND CR-V e:HEV RS BLACK EDITION Platinum White Pearl HJ431012W,51.91,50.91,1,51.91,"Aug 22, 2026",Hobby JAPAN,HJ431012W,,"Toys & Hobbies|Diecast & Toy Vehicles|Cars, Trucks & Vans|Contemporary Manufacture",lush_nine*japan,127983577879,https://www.ebay.com/itm/127983577879
4901427347944,Kuretake Gansai Tambi 100 Watercolor Set MC20/100WD4 Japan Limited Edition Art,189.99,39.99,1,189.99,"Aug 22, 2026",Kuretake,NA,,Crafts|Art Supplies|Painting Supplies|Paint|Watercolor Paint,coedo-japan,127987499355,https://www.ebay.com/itm/127987499355
4537807221070,Revoltech Amazing Yamaguchi Symbiote Spider Man figure Black Ver w/ Bonus,199,30,1,199,"Aug 22, 2026",Kaiyodo,,,Musical Instruments & Gear|Guitars & Basses|Bass Guitars,shou777,128012475850,https://www.ebay.com/itm/128012475850
4904810085546,BEYBLADE X UX-21 Hells Nether Deck Set Hells Nether Z Only No box No beycode,58.96,0,1,58.96,"Aug 20, 2026",TOMY,UX-21UX21,,Toys & Hobbies|Action Figures & Accessories|Action Figures,nipponexcellentgoods,128035726683,https://www.ebay.com/itm/128035726683
4902370533224,New Nintendo 3DS LL (XL) Pink White Console Handheld System Japan Import New,419.99,0,1,419.99,"Aug 21, 2026",Nintendo,REDSPAAA,,Video Games & Consoles|Video Game Consoles,samuraisellercooljapanc.t,128037152219,https://www.ebay.com/itm/128037152219
4991348082451,Verbatim VBR520YP20SD4 Blu-ray Disc 20pcs Spindle 100GB 4X Speed from Japan new,121.93,0,1,121.93,"Aug 21, 2026",Verbatim,VBR520YP20SD4,,"Computers/Tablets & Networking|Drives, Storage & Blank Media|Blank Media & Accessories|CD, DVD & Blu-ray Discs",the_big_dipper_japan,133873464615,https://www.ebay.com/itm/133873464615
4901780586080,Sony Professional Studio Monitor Headphone MDR-CD900ST With Tracking New,172,0,1,172,"Aug 22, 2026",Sony,MDR-CD900ST,,Consumer Electronics|Portable Audio & Headphones|Headphones,good-job-from-japan,133915843145,https://www.ebay.com/itm/133915843145
4939334130687,Suzuki SCX-64 Chromatic Harmonica 16 Holes 64 Sounds Standard new free shipping,205.37,0,1,205.37,"Aug 21, 2026",Suzuki,SCX-64,,Musical Instruments & Gear|Wind & Woodwind|Folk & World|Harmonicas,the_big_dipper_japan,133940167751,https://www.ebay.com/itm/133940167751
4549526306211,Casio GW-M5610U-1JF G-SHOCK Origin Solar Radio Multiband 6 Digital Men's Watch,162.07,0,1,162.07,"Aug 21, 2026",Casio,,,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",the_big_dipper_japan,134304396905,https://www.ebay.com/itm/134304396905
4960652876957,Daiwa 876957 Swing Bass Rod Triple B 666TMRB Baitcasting Fishing Rod new F/S,166.52,0,1,166.52,"Aug 21, 2026",Daiwa,,,Sporting Goods|Fishing|Rods & Poles,the_big_dipper_japan,134310986508,https://www.ebay.com/itm/134310986508
4960759905086,Nikon WRR11aset Wireless Remote Controller WR-R11a / WR-T10 Set new F/S,185.12,0,1,185.12,"Aug 22, 2026",Nikon,‎WRR11aset,,"Cameras & Photo|Camera, Drone & Photo Accessories|Remotes & Shutter Releases",the_big_dipper_japan,134360997396,https://www.ebay.com/itm/134360997396
4571324592800,Rokuhan T018-2 Z Gauge EF210 Type 100 series DC electric locomotive Adult 15+,79.44,0,1,79.44,"Aug 23, 2026",Rokuhan,T0182,,Toys & Hobbies|Model Railroads & Trains|Railroads & Trains|Locomotives,the_big_dipper_japan,134478843533,https://www.ebay.com/itm/134478843533
4549526168239,CASIO G-SHOCK G-STEEL GST-B100D-1AJF Smartphone Link Model JAPAN OFFICIAL,396.87,0,1,396.87,"Aug 21, 2026",Casio,,,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",jp_market,134640696557,https://www.ebay.com/itm/134640696557
4545784067123,New other figma 503 Ghost in the Shell Motoko Kusanagi SAC_2045 ver,160.16,29.46,1,160.16,"Aug 20, 2026",Max Factory,,,Collectibles|Animation Art & Merchandise|Animation Merchandise|Other Animation Merchandise,yorozu_japan,134702290971,https://www.ebay.com/itm/134702290971
4978719000351,Hane bisho  High-end toilet paper 8 pieces Imperial Tribute NEW F/S,131.1,0,1,131.1,"Aug 20, 2026","Mochizuki Paper Co., Ltd.",,,Home & Garden|Bath|Bathroom Accessories|Toilet Paper Holders & Storage,the_big_dipper_japan,134819321487,https://www.ebay.com/itm/134819321487
4573102660558,Bandai Figuarts Zero Naruto Uzumaki Figure - Sage Art Lava Release Rasenshuriken,118,108,1,118,"Aug 20, 2026",Bandai,NA,,Toys & Hobbies|Action Figures & Accessories|Action Figures,kazumaru_shop,135002157090,https://www.ebay.com/itm/135002157090
4974375376670,CITIZEN Watch REGUNO Regno SolarTech Standard Model RS26-0031C Women?fs japan,68.84,0,1,68.84,"Aug 22, 2026",Citizen,,,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",the_big_dipper_japan,135133840615,https://www.ebay.com/itm/135133840615
4902470070001,Feather PB-20 Artist Club Replacement Professional Blade 10 Packs 200 Blades new,84.22,0,1,84.22,"Aug 20, 2026",Feather,PB20,2254527065,Health & Beauty|Shaving & Hair Removal|Razors & Razor Blades|Men's Razors,the_big_dipper_japan,135160505716,https://www.ebay.com/itm/135160505716
4560187066009,KYORITSU Gauge Clamp Meter AC Current Measurement AC1000A KEW 2127R From JAPAN,151.96,0,1,151.96,"Aug 22, 2026",KYORITSU,2127R,,"Business & Industrial|Test, Measurement & Inspection|Test Meters & Detectors|Multimeters",the_big_dipper_japan,135238283386,https://www.ebay.com/itm/135238283386
4951586014881,JICO N44-7 IMP SD Premium Replacement Stylus for SHURE M44-7 Cartridge,75,0,1,75,"Aug 21, 2026",JICO,N44-7 IMP SD,,Musical Instruments & Gear|DJ Equipment|DJ Turntable Parts & Accessories|Cartridges & Needles,good-job-from-japan,135315636321,https://www.ebay.com/itm/135315636321
4580101245549,Tein EDK04-Q0349 EDFC Active Pro Controller Kit F/S new,485,0,1,485,"Aug 20, 2026",Tein,EDK04-Q0349,,"eBay Motors|Parts & Accessories|Performance & Racing Parts|Auto Performance Parts|Chassis, Suspension & Brakes|Lower Kits & Parts",the_big_dipper_japan,135334644243,https://www.ebay.com/itm/135334644243
4909959176407,YAESU M-90D Desktop Microphone  Radio Communication Accessories from Japan new,181.86,0,1,181.86,"Aug 20, 2026",Yaesu,M-90D,,Consumer Electronics|Radio Communication|Parts & Accessories|Microphones,the_big_dipper_japan,135392985780,https://www.ebay.com/itm/135392985780
4969363251572,Shimano 17 HOLIDAY ISO 1.5-530 Telescopic Rod Shipping from JAPAN,136.99,0,1,136.99,"Aug 20, 2026",Shimano,,,Sporting Goods|Fishing|Rods & Poles,yokitackle,135409377341,https://www.ebay.com/itm/135409377341
