jan,title,avg_sold_price,avg_shipping,total_sold,total_sales,date_last_sold,brand,mpn,epid,category,seller,age_level,item_id,url
4960759128713,Official NIKON SLR Camera Semi-Soft Case CF-DC4 Black,104.39,20,1,104.39,"Aug 27, 2026",Nikon,,,"Cameras & Photo|Camera, Drone & Photo Accessories|Cases, Bags & Covers",iruzamako,,115478141060,https://www.ebay.com/itm/115478141060
4988104124005,Weathering with You Blu-ray Collector's Edition Limited 4K Tenki no Ko ENG Sub,151.03,0,1,151.03,"Aug 28, 2026",,,,Movies & TV|DVDs & Blu-ray Discs,sdyk0022,,115854817923,https://www.ebay.com/itm/115854817923
4901331014048,KAI Captain Titan Mild Blade 20 Sheet x 10pcs B-CAPT,139.94,0,1,139.94,"Aug 27, 2026",KAI,B-CAPT,,Health & Beauty|Shaving & Hair Removal|Razors & Razor Blades|Men's Razor Blades,sakura-japan-net,,115882400934,https://www.ebay.com/itm/115882400934
4988601468268,FINAL FANTASY VII REMAKE Original Soundtrack Plus CD Game Music FF7 OST,55.84,9,1,55.84,"Aug 27, 2026",,,26046095489,Music|CDs,sdyk0022,,116088686492,https://www.ebay.com/itm/116088686492
4934569366634,Space Battleship Yamato 2205 A New Voyage 1 Blu-ray Anime Region free BCXA-1663,87.33,0,1,87.33,"Aug 26, 2026",,,,Movies & TV|DVDs & Blu-ray Discs,sdyk0022,,116126060572,https://www.ebay.com/itm/116126060572
4934569364715,Mobile Suit Gundam 0083 The Afterglow of Zeon Blu-ray U.C. Libraries Eng Sub,56.79,0,1,56.79,"Aug 27, 2026",,,,Movies & TV|DVDs & Blu-ray Discs,sdyk0022,,116268735710,https://www.ebay.com/itm/116268735710
4571646502020,hololive Sakura Miko flower rhapsody CD 1st Album HOLO-12 4571646502020,56.39,0,1,56.39,"Aug 27, 2026",,,,Music|CDs,sdyk0022,,116320667282,https://www.ebay.com/itm/116320667282
4571519905156,My Beautiful Man Blu-ray Set of 3 Season 1 + 2 + Movie Utsukushii Kare Eng Sub,318.9,0,1,318.9,"Aug 28, 2026",,,,Movies & TV|DVDs & Blu-ray Discs,sdyk0022,,116324557389,https://www.ebay.com/itm/116324557389
4934569359995,Ghost in the Shell ARISE Pyrophoric Cult Blu-ray Region free English Subtitles,70.03,0,1,70.03,"Aug 26, 2026",,,,Movies & TV|DVDs & Blu-ray Discs,sdyk0022,,116419883444,https://www.ebay.com/itm/116419883444
4582290390703,Hatsune Miku Project DIVA F Complete Collection 2CD+DVD Region 2 Game Music OST,58.67,0,1,58.67,"Aug 27, 2026",,,,Music|CDs,sdyk0022,,116426418938,https://www.ebay.com/itm/116426418938
4988031673218,Sonny Rollins A Night at the Village Vanguard 2024 Remaster SACD Hybrid LTD,63.18,0,1,63.18,"Aug 26, 2026",,,,Music|CDs,sdyk0022,,116537949781,https://www.ebay.com/itm/116537949781
4988031759813,Mariah Carey The Emancipation of Mimi Deluxe Edition 2SHM-CD Japan Limited,70.12,0,1,70.12,"Aug 26, 2026",,,,Music|CDs,sdyk0022,,116563825672,https://www.ebay.com/itm/116563825672
4907587035110,VESSEL 400ER3-1M Cordless Electric Slim Ratchet Set with 31 Socket Bits NEW,179.91,4,1,179.91,"Aug 27, 2026",VESSEL,400ER3-1M,,Home & Garden|Tools & Workshop Equipment|Power Tools|Impact Wrenches,jpdash,,116718612672,https://www.ebay.com/itm/116718612672
4988003305673,ACE COMBAT 5 THE UNSUNG WAR ORIGINAL SOUNDTRACK 4CD Game Music OST KICA-1346,58.62,0,1,58.62,"Aug 26, 2026",,,22070879744,Music|CDs,sdyk0022,,116836173440,https://www.ebay.com/itm/116836173440
4971850893486,CASIO Watch G-SHOCK GLX-5600-7JF G-LIDE White Men,117.4,0,1,117.4,"Aug 26, 2026",Casio,,5047860925,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",sakura-japan-net,,116912807310,https://www.ebay.com/itm/116912807310
4549526414275,CASIO PRO TREK PRJ-B001B-1JF Hiker Line Bluetooth Solar Men's Watch,195.05,0,1,195.05,"Aug 28, 2026",Casio,PRJ-B001B-1JF,,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",sakura-japan-net,,116925508793,https://www.ebay.com/itm/116925508793
4582757037295,Hatsune Miku Magical Mirai 2025 Limited Edition 2 Blu-ray Book Card Japan,109.69,0,1,109.69,"Aug 26, 2026",,,,Movies & TV|DVDs & Blu-ray Discs,sdyk0022,,116961940454,https://www.ebay.com/itm/116961940454
4988601472593,FINAL FANTASY VII REBIRTH Original Soundtrack Plus 5 CD Japan,72.63,9,1,72.63,"Aug 27, 2026",,,,Music|CDs,sdyk0022,,117021772573,https://www.ebay.com/itm/117021772573
4582757039268,Pokemon feat. Hatsune Miku VOLTAGE Live Limited Edition Blu-ray Book Japan,155.49,0,1,155.49,"Aug 26, 2026",,,,Movies & TV|DVDs & Blu-ray Discs,sdyk0022,,117271550740,https://www.ebay.com/itm/117271550740
4988003673963,Senri Kawaguchi E Magination  Live at the Blues Alley Japan PRE-ORDER,56.64,0,1,56.64,"Aug 27, 2026",,,,Music|CDs,sdyk0022,,117339294235,https://www.ebay.com/itm/117339294235
4988031884836,KISS DESTROYS ANAHEIM `76 SHM-CD + POB Poster Japan Limited Edition,91.46,0,1,91.46,"Aug 27, 2026",,,,Music|CDs,sdyk0022,,117371582308,https://www.ebay.com/itm/117371582308
